Habitattypen,Richtlijn,Aanwijzingsbesluit,Veegbesluit[2],Stikstofgevoelig,KWD,Doelstelling,Opmerkingen
H3140 Kranswierwateren,Habitattypen,Ja,Nee,Hz: zeer gevoelig,571,Uitbreiding oppervlakte en verbetering kwaliteit.,
H3140 Kranswierwateren,Habitattypen,Ja,Nee,Lv: gevoelig,2143,Uitbreiding oppervlakte en verbetering kwaliteit.,
H3140 Kranswierwateren,Habitattypen,Ja,Nee,Az: minder/niet gevoelig,2400,Uitbreiding oppervlakte en verbetering kwaliteit.,
H3140 Kranswierwateren,Habitattypen,Ja,Nee,Baz: gevoelig,2143,Uitbreiding oppervlakte en verbetering kwaliteit.,
H3150 Meren met krabbenscheer en fonteinkruiden,Habitattypen,Ja,Nee,Baz: gevoelig,2143,Uitbreiding oppervlakte en verbetering kwaliteit.,
H3150 Meren met krabbenscheer en fonteinkruiden,Habitattypen,Ja,Nee,Az: minder/niet gevoelig,2400,,
H4010 Vochtige heiden,Habitattypen,Ja,Nee,B: zeer gevoelig,786,"Uitbreiding oppervlakte en verbetering kwaliteit vochtige heiden, laagveengebied (subtype B).",
H6410 Blauwgraslanden,Habitattypen,Ja,Nee,zeer gevoelig,1071,Uitbreiding oppervlakte en verbetering kwaliteit.,
H6430 Ruigten en zomen,Habitattypen,A: X,B: X,A: minder/niet gevoelig,2400,"Aanwijzingsbesluit: Behoud oppervlakte en kwaliteit ruigten en zomen, moerasspirea (subtype A).",
H6430 Ruigten en zomen,Habitattypen,Ja,Nee,B: minder/niet gevoelig,2400,"Veegbesluit: Behoud oppervlakte en kwaliteit ruigten en zomen, moerasspirea (subtype A) en ruigten en zomen, harig wilgenroosje (subtype B).",
H7140 Overgangs- en trilvenen,Habitattypen,Ja,Nee,A: zeer gevoelig,1214,Uitbreiding oppervlakte en verbetering kwaliteit.,
H7140 Overgangs- en trilvenen,Habitattypen,Ja,Nee,B: zeer gevoelig,714,,
H7210 *Galigaanmoerassen,Habitattypen,Ja,Nee,gevoelig,1571,Behoud oppervlakte en kwaliteit.,
H91D0 *Hoogveenbossen,Habitattypen,Ja,Nee,gevoelig,1786,Behoud oppervlakte en kwaliteit.,
H1016 Zeggekorfslak,Habitatrichtlijnsoorten,Ja,Nee,Ja,-9999,Behoud omvang en kwaliteit leefgebied voor behoud populatie.,
H1082 Gestreepte waterroofkever,Habitatrichtlijnsoorten,Ja,Nee,Nee,,Uitbreiding omvang en verbetering kwaliteit leefgebied voor uitbreiding populatie.,
H1134 Bittervoorn,Habitatrichtlijnsoorten,Ja,Nee,Ja,-9999,Behoud omvang en kwaliteit leefgebied voor behoud populatie.,
H1149 Kleine modderkruiper,Habitatrichtlijnsoorten,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied voor behoud populatie.,
H1163 Rivierdonderpad,Habitatrichtlijnsoorten,,Ja,Nee,,Behoud omvang en kwaliteit leefgebied voor behoud populatie.,
H1318 Meervleermuis,Habitatrichtlijnsoorten,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied voor behoud populatie.,
H1340 *Noordse woelmuis,Habitatrichtlijnsoorten,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied voor behoud populatie.,
H1903 Groenknolorchis,Habitatrichtlijnsoorten,Ja,Nee,Nee,,Behoud omvang en kwaliteit biotoop voor behoud populatie.,
H4056 Platte schijfhoren,Habitatrichtlijnsoorten,Ja,Nee,Ja,-9999,Behoud omvang en kwaliteit leefgebied voor behoud populatie.,
A021 Roerdomp,Vogelrichtlijnsoorten: broedvogels,Ja,Nee,Nee,,Uitbreiding omvang en/of verbetering kwaliteit leefgebied met een draagkracht voor een populatie van ten minste 6 paren (territoria).,
A029 Purperreiger,Vogelrichtlijnsoorten: broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van ten minste 120 paren.,
A176 Zwartkopmeeuw,Vogelrichtlijnsoorten: broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van ten minste 9 paren.,
A197 Zwarte stern,Vogelrichtlijnsoorten: broedvogels,Ja,Nee,Nee,,Uitbreiding omvang en/of verbetering kwaliteit leefgebied met een draagkracht voor een populatie van ten minste 115 paren.,
A292 Snor,Vogelrichtlijnsoorten: broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van ten minste 25 paren,
A295 Rietzanger,Vogelrichtlijnsoorten: broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van ten minste 680 paren,
A027 Grote zilverreiger,Vogelrichtlijnsoorten: niet-broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van gemiddeld 60 vogels (seizoensmaximum).,
A041 Kolgans,Vogelrichtlijnsoorten: niet-broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van gemiddeld 3.000 vogels (seizoensmaximum).,
A050 Smient,Vogelrichtlijnsoorten: niet-broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van gemiddeld 3.500 vogels (seizoensmaximum).,
A051 Krakeend,Vogelrichtlijnsoorten: niet-broedvogels,Ja,Nee,Nee,,Behoud omvang en kwaliteit leefgebied met een draagkracht voor een populatie van gemiddeld 90 vogels (seizoensmaximum).,
